actual,predicted
10500000.0,10886666.666666666
4200000.0,4126800.0
10000000.0,11046666.666666666
5500000.0,5536666.666666667
7500000.0,6753333.333333333
11500000.0,11306666.666666666
6500000.0,5524666.666666667
89500000.0,91196666.66666667
8000000.0,8366666.666666667
10500000.0,9368888.888888888
1500000.0,1223333.3333333333
5500000.0,5145122.222222223
25500000.0,26966666.666666668
4900000.0,5021809.523809523
6000000.0,6123333.333333333
4100000.0,4195333.333333333
42500000.0,37990000.0
2500000.0,2442211.111111111
5500000.0,5307226.190476188
3100000.0,3292000.0
44000000.0,35983333.333333336
6500000.0,7696666.666666667
8500000.0,7940000.0
20500000.0,15761111.111111114
1400000.0,1294013.888888889
55500000.0,49186666.666666664
7000000.0,7332777.777777777
3200000.0,2981333.333333333
16000000.0,16883333.333333332
15000000.0,14833333.333333334
12500000.0,11770000.0
8500000.0,8020666.666666667
2500000.0,2278000.0
2100000.0,2756777.7777777785
28000000.0,25453333.333333332
2800000.0,3306666.6666666665
38000000.0,42456666.666666664
725000.0,1537888.8888888885
1100000.0,1984080.5555555555
7500000.0,8384444.444444443
7500000.0,7143333.333333333
1500000.0,1660000.0
3500000.0,3583155.555555555
4600000.0,3417333.3333333335
3900000.0,3554000.0
7500000.0,7463666.666666667
2900000.0,2824666.6666666665
6000000.0,5559333.333333333
15000000.0,15030000.0
11000000.0,11693333.333333334
10000000.0,8683333.333333334
5500000.0,5090888.888888888
10000000.0,10716666.666666666
12000000.0,12030000.0
4300000.0,4360000.0
1800000.0,1370666.6666666667
12000000.0,11353333.333333334
6500000.0,6203500.000000001
2900000.0,2493400.0
32000000.0,31300000.0
52000000.0,48903333.333333336
16000000.0,16086666.666666666
15000000.0,14806666.666666666
22500000.0,22286666.666666668
19000000.0,18913333.333333332
5500000.0,5473333.333333333
2800000.0,2815555.555555556
2000000.0,2304666.6666666665
8000000.0,7773333.333333333
5000000.0,4579333.333333333
10500000.0,9636666.666666666
40500000.0,34952222.22222222
2600000.0,2588555.555555556
16500000.0,17336666.666666668
8500000.0,6856666.666666667
6500000.0,7015333.333333333
3500000.0,3473311.1111111115
28000000.0,27830000.0
23000000.0,23150000.0
42000000.0,25616666.666666668
8500000.0,8273611.11111111
8500000.0,8272222.222222222
6000000.0,5145122.222222223
7500000.0,11973333.333333334
4600000.0,4586000.0
16500000.0,16043333.333333334
10000000.0,8826666.666666666
